dateCaptured, airTempSensationOne, airHumSensationOne, airTempOne, airHumOne, earthTempOne, earthHumOne, lightOne, airTempSensationTwo, airHumSensationTwo, airTempTwo, airHumTwo, earthTempTwo, earthHumTwo, lightTwo, airTempSensationThree, airHumSensationThree, airTempThree, airHumThree, earthTempThree, earthHumThree, lightThree, airTempSensationFour, airHumSensationFour, airTempFour, airHumFour, earthTempFour, earthHumFour, lightFour, airTempSensationFive, airHumSensationFive, airTempFive, airHumFive, earthTempFive, earthHumFive, lightFive, statusCloud, timeSent
11/9/2020 15:58:58, 20.3682, 20.3682, 20.6, 63.3, 17.3125, 156.736, 5400, 21.3549, 21.3549, 21.3, 71.6, 18.4375, 20.1815, 7845, 18.5475, 18.5475, 18.8, 69.4, 17, 19.7135, 5755.83, 19.6889, 19.6889, 19.7, 75.2, 18.8125, 15.7716, 5444.17, 21.8687, 21.8687, 21.9, 66, 17.375, 12.1692, 6004.17, false, 11/9/2020 15:58:58 
11/9/2020 16:0:57, 19.7314, 19.7314, 19.9, 68.4, 17.25, 156.735, 4985, 20.2598, 20.2598, 20.2, 76, 18.375, 14.0258, 6404.17, 18.1519, 18.1519, 18.4, 71.1, 16.875, 20.3553, 5950, 18.9816, 18.9816, 19, 77.6, 18.75, 15.8532, 5352.5, 19.197, 19.197, 19.4, 69, 17.25, 12.4246, 6113.33, false, 11/9/2020 16:0:57 
11/9/2020 16:29:22, 18.7045, 18.7045, 18.9, 71.2, 17.25, 156.735, 4528.33, 16.9882, 16.9882, 17.1, 81.3, 17.8125, 18.7656, 3438.33, 17.7458, 17.7458, 18, 72.4, 16.8125, 23.0121, 4558.33, 18.7668, 18.7668, 18.8, 77.8, 18.75, 16.1918, 4952.5, 18.3353, 18.3353, 18.6, 69.7, 17.125, 12.5523, 5625.83, false, 11/9/2020 16:29:22 
11/9/2020 16:32:44, 15.2152, 15.2152, 15.5, 80.8, 16.4375, 156.734, 2349.17, 15.3252, 15.3252, 15.6, 80.8, 17.625, 11.2553, 2801.67, 14.5343, 14.5343, 14.9, 80, 16.0625, 15.1992, 1761.67, 16.2336, 16.2336, 16.3, 86.1, 17.875, 18.9807, 2462.5, 16.7917, 16.7917, 16.9, 82.2, 16.3125, 6.70957, 2794.17, false, 11/9/2020 16:32:44 
11/9/2020 16:34:50, 15.2021, 15.2021, 15.5, 80.3, 16.3125, 156.734, 2100, 15.6996, 15.6996, 15.9, 82.5, 17.5625, 10.7098, 2914.17, 13.9474, 13.9474, 14.3, 82.8, 15.9375, 8.97065, 2138.33, 15.8249, 15.8249, 15.9, 87.3, 17.8125, 19.0973, 2475.83, 15.7466, 15.7466, 15.9, 84.3, 16.1875, 6.59859, 2780, false, 11/9/2020 16:34:50 
11/9/2020 16:36:56, 15.5948, 15.5948, 15.8, 82.7, 16.3125, 156.734, 2278.33, 14.5, 14.5, 14.8, 82.9, 17.5, 10.6421, 2876.67, 13.9605, 13.9605, 14.3, 83.3, 15.875, 8.37205, 2120, 15.5053, 15.5053, 15.6, 87.7, 17.6875, 21.2172, 2494.17, 15.4401, 15.4401, 15.6, 85.2, 16.125, 6.61311, 2731.67, false, 11/9/2020 16:36:56 
11/9/2020 16:39:2, 14.5735, 14.5735, 14.9, 81.5, 16.25, 156.734, 2263.33, 14.1831, 14.1831, 14.5, 83.4, 17.4375, 10.5297, 2784.17, 14.2144, 14.2144, 14.5, 84.6, 15.875, 8.13081, 2085, 14.7771, 14.7771, 14.9, 89.3, 17.6875, 20.8099, 2418.33, 15.1414, 15.1414, 15.3, 86.4, 16.0625, 6.67941, 2647.5, false, 11/9/2020 16:39:2 
11/9/2020 16:41:9, 14.9557, 14.9557, 15.2, 83.5, 16.1875, 156.734, 2218.33, 13.1957, 13.1957, 13.6, 83.5, 17.375, 10.4156, 2746.67, 14.1122, 14.1122, 14.4, 84.9, 15.8125, 8.13627, 2070, 15.0729, 15.0729, 15.1, 92.2, 17.625, 20.5691, 2363.33, 15.3953, 15.3953, 15.5, 87.7, 16, 6.71887, 2610.83, false, 11/9/2020 16:41:9 
11/9/2020 16:43:15, 14.5235, 14.5235, 14.8, 83.8, 16.1875, 156.734, 1988.33, 13.8844, 13.8844, 14.2, 84.6, 17.375, 10.5291, 2753.33, 13.8084, 13.8084, 14.1, 85.9, 15.8125, 8.07264, 1660, 15.2876, 15.2876, 15.3, 92, 17.5625, 20.8152, 2342.5, 14.7641, 14.7641, 14.9, 88.8, 16, 6.81213, 2630.83, false, 11/9/2020 16:43:15 
11/9/2020 16:45:26, 14.9766, 14.9766, 15.2, 84.3, 16, 156.733, 2370, 12.7792, 12.7792, 13.2, 84.4, 17.3125, 10.6152, 2891.67, 14.0362, 14.0362, 14.3, 86.2, 15.75, 7.90627, 1815.83, 14.6067, 14.6067, 14.7, 91.2, 17.5625, 20.7526, 2398.33, 15.1176, 15.1176, 15.2, 89.7, 15.9375, 6.83183, 2741.67, false, 11/9/2020 16:45:26 
