dateCaptured,airTempSensationOne,airHumSensationOne,airTempOne,airHumOne,earthTempOne,earthHumOne,lightOne,airTempSensationTwo,airHumSensationTwo,airTempTwo,airHumTwo,earthTempTwo,earthHumTwo,lightTwo,airTempSensationThree,airHumSensationThree,airTempThree,airHumThree,earthTempThree,earthHumThree,lightThree,airTempSensationFour,airHumSensationFour,airTempFour,airHumFour,earthTempFour,earthHumFour,lightFour,airTempSensationFive,airHumSensationFive,airTempFive,airHumFive,earthTempFive,earthHumFive,lightFive,statusCloud,timeSent
13/9/2020 18:37:38,10.9839,10.9839,11.2,99.9,14.3125,32.0332,0,12.3199,12.3199,12.5,96.3,15.75,18.9988,0.416667,11.5157,11.5157,11.7,99.2,15.375,41.5515,0,10.9839,10.9839,11.2,99.9,16.0625,20.2242,0,11.3139,11.3139,11.5,99.9,13.9375,11.0209,0,false,13/9/2020 18:37:38
13/9/2020 19:8:0,10.9839,10.9839,11.2,99.9,14.3125,32.0951,0,12.3513,12.3513,12.5,97.5,15.75,19.0439,0,10.8739,10.8739,11.1,99.9,15.3125,42.4123,0,10.9839,10.9839,11.2,99.9,15.9375,20.1304,0,8.67397,8.67397,9.1,99.9,13.9375,11.0382,0,false,13/9/2020 19:8:0
13/9/2020 19:38:20,8.89397,8.89397,9.3,99.9,14.25,32.1477,0,11.2591,11.2591,11.5,97.8,15.625,18.8788,0,10.8739,10.8739,11.1,99.9,15.3125,43.2244,0,9.44396,9.44396,9.8,99.9,15.6875,20.3053,0,10.104,10.104,10.4,99.9,13.9375,11.0746,0,false,13/9/2020 19:38:20
13/9/2020 20:8:35,8.23397,8.23397,8.7,99.9,14.1875,32.323,0,10.0596,10.0596,10.4,98.2,15.5,18.9833,0,8.89397,8.89397,9.3,99.9,15.1875,42.9106,0,8.12397,8.12397,8.6,99.9,15.5,20.3482,0,7.57398,7.57398,8.1,99.9,13.8125,11.292,0,false,13/9/2020 20:8:35
13/9/2020 20:38:55,7.57398,7.57398,8.1,99.9,14.125,32.5357,0,8.32047,8.32047,8.8,99,15.5,19.1584,0,8.56397,8.56397,9,99.9,15.125,42.4138,0,7.35398,7.35398,7.9,99.9,15.3125,20.2283,0,7.02398,7.02398,7.6,99.9,13.75,11.3385,0,false,13/9/2020 20:38:55
13/9/2020 21:9:14,7.13398,7.13398,7.7,99.9,14.0625,32.6722,0,6.25138,6.25138,6.9,99.8,15.375,19.0869,0,7.57398,7.57398,8.1,99.9,15,42.5788,0,6.36399,6.36399,7,99.9,15.0625,20.3524,0,5.704,5.704,6.4,99.9,13.75,11.2355,0,false,13/9/2020 21:9:14
13/9/2020 21:39:33,5.924,5.924,6.6,99.9,13.875,32.8649,0,6.36138,6.36138,7,99.8,15.25,19.2457,0,6.58399,6.58399,7.2,99.9,14.9375,43.1761,0,5.594,5.594,6.3,99.9,14.8125,20.306,0,4.71401,4.71401,5.5,99.9,13.625,11.7393,0,false,13/9/2020 21:39:33
13/9/2020 22:9:54,5.704,5.704,6.4,99.9,13.875,32.8224,0,5.704,5.704,6.4,99.9,15.125,19.3014,0,6.034,6.034,6.7,99.9,14.875,43.9185,0,6.034,6.034,6.7,99.9,14.6875,20.1336,0,5.704,5.704,6.4,99.9,13.5625,11.7846,0,false,13/9/2020 22:9:54
13/9/2020 22:40:20,5.924,5.924,6.6,99.9,13.6875,32.5112,0,6.25399,6.25399,6.9,99.9,15,19.1904,0,6.80399,6.80399,7.4,99.9,14.75,44.0131,0,6.36399,6.36399,7,99.9,14.3125,19.7565,0,6.69399,6.69399,7.3,99.9,13.5,11.661,0,false,13/9/2020 22:40:20
13/9/2020 23:10:48,7.13398,7.13398,7.7,99.9,13.625,32.1257,0,5.044,5.044,5.8,99.9,14.875,18.9427,0,7.46398,7.46398,8,99.9,14.625,43.7981,0,7.35398,7.35398,7.9,99.9,14.125,19.5641,0,5.264,5.264,6,99.9,13.4375,11.4736,0,false,13/9/2020 23:10:48
13/9/2020 23:41:12,7.35398,7.35398,7.9,99.9,13.4375,32.1013,0,6.47399,6.47399,7.1,99.9,14.75,18.5896,0,7.35398,7.35398,7.9,99.9,14.5625,43.8801,0,7.68398,7.68398,8.2,99.9,13.875,19.2382,0,6.69399,6.69399,7.3,99.9,13.375,11.4312,0,false,13/9/2020 23:41:12
14/9/2020 0:11:38,7.57398,7.57398,8.1,99.9,13.375,31.8319,0,7.57398,7.57398,8.1,99.9,14.5625,18.4073,0,7.79398,7.79398,8.3,99.9,14.4375,44.7106,0,7.35398,7.35398,7.9,99.9,13.75,19.036,0,7.02398,7.02398,7.6,99.9,13.1875,11.2747,0,false,14/9/2020 0:11:38
14/9/2020 0:42:3,8.01398,8.01398,8.5,99.9,13.1875,31.5157,0,7.79398,7.79398,8.3,99.9,14.5,18.3418,0,7.79398,7.79398,8.3,99.9,14.3125,45.4943,0,8.34397,8.34397,8.8,99.9,13.5625,18.7832,0,7.35398,7.35398,7.9,99.9,13.125,11.072,0,false,14/9/2020 0:42:3
14/9/2020 1:12:26,7.68398,7.68398,8.2,99.9,13.0625,31.3891,0,8.89397,8.89397,9.3,99.9,14.375,18.0467,0,8.12397,8.12397,8.6,99.9,14.25,44.3459,0,7.46398,7.46398,8,99.9,13.375,18.8657,0,8.45397,8.45397,8.9,99.9,13.0625,11.0055,0,false,14/9/2020 1:12:26
14/9/2020 1:42:46,7.13398,7.13398,7.7,99.9,13,31.4634,0,7.13398,7.13398,7.7,99.9,14.25,18.3764,0,7.46398,7.46398,8,99.9,14.125,44.1066,0,6.58399,6.58399,7.2,99.9,13.3125,19.144,0,6.91399,6.91399,7.5,99.9,12.9375,11.3329,0,false,14/9/2020 1:42:46
14/9/2020 2:13:6,6.034,6.034,6.7,99.9,12.875,31.5936,0,6.58399,6.58399,7.2,99.9,14.1875,18.4738,0,6.36399,6.36399,7,99.9,14.0625,44.4467,0,6.47399,6.47399,7.1,99.9,13.125,19.1404,0,6.58399,6.58399,7.2,99.9,12.8125,11.3711,0,false,14/9/2020 2:13:6
